0000000150,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",12:10:19 PM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",1.00,30.00,1.00,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.30,"V"
"extractor",370,"V"
"focus",-144,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000000,    1.00,   1455760
0000000001,00:00:00,0000000000,    2.00,   2389570
0000000001,00:00:00,0000000000,    3.00,      2330
0000000001,00:00:00,0000000000,    4.00,       220
0000000001,00:00:00,0000000000,    5.00,       110
0000000001,00:00:00,0000000000,    6.00,       180
0000000001,00:00:00,0000000000,    7.00,        80
0000000001,00:00:00,0000000000,    8.00,       120
0000000001,00:00:00,0000000000,    9.00,       140
0000000001,00:00:00,0000000000,   10.00,       130
0000000001,00:00:00,0000000000,   11.00,       150
0000000001,00:00:00,0000000000,   12.00,       690
0000000001,00:00:00,0000000000,   13.00,       360
0000000001,00:00:00,0000000000,   14.00,     12800
0000000001,00:00:00,0000000000,   15.00,      3580
0000000001,00:00:00,0000000000,   16.00,     34780
0000000001,00:00:00,0000000000,   17.00,     61360
0000000001,00:00:00,0000000000,   18.00,     66560
0000000001,00:00:00,0000000000,   19.00,       370
0000000001,00:00:00,0000000000,   20.00,       340
0000000001,00:00:00,0000000000,   21.00,       190
0000000001,00:00:00,0000000000,   22.00,       290
0000000001,00:00:00,0000000000,   23.00,        90
0000000001,00:00:00,0000000000,   24.00,       150
0000000001,00:00:00,0000000000,   25.00,       350
0000000001,00:00:00,0000000000,   26.00,      1360
0000000001,00:00:00,0000000000,   27.00,      4500
0000000001,00:00:00,0000000000,   28.00,    216180
0000000001,00:00:00,0000000000,   29.00,      8960
